index,success,ik_time_ms,pos_err_m,rot_err_rad,failure_reason
209,1,0.654651,2.9465606263160547e-06,8.329789092497708e-06,
210,1,0.594057,2.5176374937064973e-06,1.0831822064749283e-06,
211,1,0.572587,1.0528145930640308e-07,1.032382731180714e-07,
212,1,0.679706,8.025613893901058e-09,0.0,
213,1,3.047232,6.409984341082932e-08,1.5196262340524156e-07,
214,1,0.844869,1.0485069928478765e-10,0.0,
215,1,0.767091,1.1860161307875302e-06,3.5166740417485e-06,
216,1,0.731806,3.347007759395953e-09,0.0,
217,1,0.860084,1.05752466646612e-10,0.0,
218,1,0.906130,1.1357557778950324e-08,5.16191365590357e-08,
219,1,0.930093,3.707539139640714e-07,8.337782264394363e-06,
220,1,0.953584,1.990853365685914e-09,0.0,
221,1,0.876630,1.1936192740641055e-11,0.0,
222,1,0.857237,8.408917262029347e-12,0.0,
223,1,0.900188,1.4376963920651897e-09,0.0,
224,1,0.814416,1.0618872859880798e-09,0.0,
225,1,0.896736,1.2142180048169756e-08,0.0,
226,1,0.785025,2.210184963791684e-08,7.300048299977715e-08,
227,1,0.780907,3.045970998980094e-07,1.953814435372879e-06,
228,1,0.762409,2.143332392319223e-06,5.136212166757485e-06,
229,1,0.728794,1.5014616304958106e-07,1.8618701276109027e-06,
230,1,0.936223,9.215255936833984e-08,5.824810351637641e-07,
231,1,0.906058,4.1987096870824326e-09,0.0,
232,1,0.869061,5.11045768069286e-10,0.0,
233,1,0.909723,1.168980599496272e-06,3.7548560870323553e-06,
234,1,0.875574,3.3051222427107484e-08,4.2146848510894035e-08,
235,1,0.981065,8.224503343838301e-10,0.0,
236,1,0.909951,4.3524601686620436e-07,1.0654069740605168e-06,
237,1,0.978875,7.108950456688639e-08,6.919018486883615e-07,
238,1,0.753980,1.346268505044113e-06,3.6338063467506624e-06,
239,1,0.871308,1.2943526050728625e-09,0.0,
240,1,0.900361,8.028429946073295e-10,0.0,
241,1,0.951215,2.8500217528165435e-06,2.36923777036106e-06,
242,1,3.137444,8.708664162789112e-08,2.1696418193818693e-07,
243,1,0.981890,1.4273370725429677e-08,2.9802322387695312e-08,
244,1,0.864473,4.906206182970789e-07,1.3381209564592879e-06,
245,0,8.272339,nan,nan,ik_failed_-31
246,1,0.955289,1.252923084052169e-06,5.15537108568542e-06,
247,0,6.404495,nan,nan,ik_failed_-31
248,1,1.079834,9.566928301209981e-07,5.153303285180141e-06,
249,1,1.298767,5.351571847116549e-07,8.52158832582237e-06,
250,1,0.975921,1.243773842646724e-08,2.9802322387695312e-08,
251,1,0.960121,1.369701337741692e-07,5.862806908162258e-07,
252,1,0.856775,2.1923390256711662e-07,1.556297706263928e-06,
253,1,0.842384,4.448345065252435e-07,4.674311620401787e-07,
254,1,0.767230,9.707211752764912e-07,4.627908211347582e-06,
255,1,0.746816,1.173979527773475e-06,1.4067201282031763e-06,
256,0,6.726127,nan,nan,ik_failed_-31
257,1,1.032488,4.9562377977780584e-09,0.0,
258,1,1.006998,1.2800154008001778e-09,0.0,
259,1,5.108766,6.555597017311683e-06,1.8630623350248753e-06,
260,1,0.853053,1.8189560035344526e-10,0.0,
261,1,0.833152,3.7114563481599176e-10,0.0,
262,1,0.884524,1.6273839399647858e-10,0.0,
263,1,0.716886,3.319634913938353e-08,7.300048299977715e-08,
264,1,0.858144,8.926780964135588e-11,0.0,
265,1,0.719254,1.2490052984706755e-10,0.0,
266,1,0.789252,1.5476987283347236e-10,0.0,
267,1,0.842829,1.500469955228219e-09,0.0,
268,1,0.777015,3.7475251784263755e-07,7.929882225781773e-07,
269,1,0.798235,5.465335382061734e-08,2.0647654623614288e-07,
270,1,0.748915,9.808678085757556e-08,2.210199382035633e-07,
271,1,0.782279,5.541884972642763e-07,4.850276466615975e-06,
272,1,0.755935,7.762752356638605e-09,0.0,
273,1,0.800232,3.891934034491506e-10,0.0,
274,1,0.852215,1.3710634514584885e-08,0.0,
275,1,0.808656,1.3429452940910943e-07,3.2917740992269735e-07,
276,1,0.878977,1.0864679062959148e-07,1.7881393432617193e-07,
277,1,0.758003,3.345938538653473e-07,1.2083730061479568e-06,
278,1,0.745461,4.1523944403107296e-11,0.0,
279,1,0.722252,1.1339622413349206e-06,2.1798519549263293e-06,
280,1,0.742355,1.4668572601743355e-06,1.0633208021468807e-06,
281,1,0.728048,1.4890429423223934e-07,3.068336886461678e-07,
282,1,0.727238,4.04717350114336e-09,9.884312124119402e-08,
283,1,0.821073,7.0698173262793e-07,9.748594304201774e-07,
284,1,0.791561,3.8689506518982246e-09,0.0,
285,1,1.037197,4.1290815089345685e-09,0.0,
286,1,0.750993,4.953090874701151e-12,0.0,
287,1,0.905889,7.70023119949891e-07,1.506712992163281e-06,
288,1,0.940983,1.9566792110098277e-07,1.4648682746225337e-06,
289,1,1.023480,5.747369746885117e-07,2.3333524621801966e-06,
290,1,0.791472,3.917086024063857e-08,5.960464477539063e-08,
291,1,0.835804,3.9986591917633734e-06,3.0063438923167415e-06,
292,1,0.900379,3.3653414422842245e-07,6.603753508973252e-07,
293,1,0.959521,4.497162199761604e-06,4.9552578733141855e-06,
294,1,0.721767,1.8228997264016436e-06,5.425741766890377e-06,
295,1,0.742265,1.377451172654733e-07,1.0159051745569405e-06,
296,1,0.704166,1.21259189505591e-09,0.0,
297,1,0.772030,3.293656387362549e-09,0.0,
298,1,0.796555,8.580342788372337e-09,0.0,
299,1,0.955442,1.853186051818434e-06,5.487027617117826e-06,
300,1,0.787076,4.451189403507858e-10,0.0,
301,1,0.729355,3.921414652753076e-06,1.171803668221103e-06,
302,1,0.794253,1.839910020203611e-07,2.1696418193818693e-07,
303,1,0.780426,2.7391206178077486e-07,1.0027053261554776e-06,
304,1,0.763447,2.999357171535231e-08,1.032382731180714e-07,
305,1,0.777048,4.1657153232000425e-08,2.9802322387695312e-08,
306,1,0.842653,6.824613969981891e-07,7.108962799237147e-07,
307,1,0.687313,8.075579160951527e-08,4.4703483581543064e-07,
308,1,0.953461,1.6077032430793098e-07,1.0745380149674385e-07,
309,1,0.713660,3.114806049617743e-11,0.0,
310,1,0.797370,1.2122164330310479e-08,0.0,
311,1,0.967773,2.4162033719072985e-09,2.9802322387695312e-08,
312,1,0.706864,7.174817516609167e-08,1.8371385344770487e-07,
313,1,1.023058,2.7161817108658374e-06,2.2246191032555683e-06,
314,1,0.923985,1.040756355772722e-07,2.493441183966625e-07,
315,1,0.945955,4.2322509691712044e-06,8.992403240697919e-06,
316,1,0.980343,5.7477619590041304e-09,0.0,
317,1,0.835776,6.032593829657075e-07,2.0368312150052207e-06,
318,1,0.883156,1.8564688443121426e-06,7.650320590970735e-06,
319,1,0.809783,6.997901101464114e-06,9.989781140631337e-06,
320,1,0.775434,5.457538842076485e-08,2.8740318897345554e-07,
321,1,0.791247,5.301787289673012e-09,0.0,
322,1,0.733938,1.5502704029742977e-06,3.5694424537456374e-06,
323,1,0.613295,6.73305246782008e-10,0.0,
324,1,0.746701,3.920811560179122e-09,0.0,
325,1,0.714584,2.756467442849491e-07,2.2922616628444746e-06,
326,1,0.723049,4.18852844087857e-08,3.7932163659804686e-07,
327,1,0.702527,6.772894458765712e-08,2.7314279645418187e-07,
328,1,0.788416,2.3923854562091514e-06,7.658095132137685e-06,
329,0,9.583556,nan,nan,ik_failed_-31
330,1,0.815510,9.519754235408418e-07,4.661372851376909e-06,
331,1,0.818777,3.6798416880115234e-09,2.9802322387695312e-08,
332,1,0.844586,2.572261717058599e-07,1.0306606570357546e-06,
333,1,1.042606,4.3617809543028835e-07,6.343065695104853e-07,
334,1,0.831897,2.2581231249083415e-10,0.0,
335,1,0.780687,2.3698597526600817e-08,2.9802322387695312e-08,
336,1,0.747924,1.0249808248545475e-07,7.420718430274012e-07,
337,1,0.796828,2.7796469020730347e-06,9.85596640430553e-06,
338,1,0.703274,3.05091850953406e-10,0.0,
339,1,0.716389,2.6491381455219797e-10,0.0,
340,1,0.881593,2.399348434889139e-10,0.0,
341,1,0.797349,2.8917857158199426e-10,0.0,
342,1,0.762973,7.859651682103192e-10,0.0,
343,1,0.877026,6.081505472587811e-09,2.346637211445515e-07,
344,1,0.822223,4.9632460805906975e-08,1.4600096599955432e-07,
345,1,0.864019,7.703371914945863e-10,0.0,
346,1,0.926967,3.203026408175421e-11,0.0,
347,1,1.055672,5.668412392306828e-11,0.0,
348,1,1.420856,4.489062852350064e-09,0.0,
349,1,0.873520,1.037149831791838e-10,0.0,
350,1,0.719005,3.512802600965617e-07,8.439899837080479e-07,
351,1,0.706676,9.065241115788384e-10,0.0,
352,1,0.837698,2.6559085194537657e-08,2.9802322387695312e-08,
353,1,0.714905,5.9463931648934986e-08,0.0,
354,1,0.975473,7.528900685264853e-09,0.0,
355,1,0.834767,1.760906677807056e-07,5.430241572346883e-07,
356,1,0.918613,9.905754793920192e-09,5.16191365590357e-08,
357,1,0.898963,1.6462145908529636e-09,0.0,
358,1,0.983421,1.181210149110411e-06,5.2986148988898395e-06,
359,1,0.830934,2.4280051874480768e-06,1.7841612752790764e-06,
360,1,0.894287,9.320813922330357e-08,3.734220292014386e-07,
361,1,1.092476,5.2909705015262746e-06,9.053874910198597e-06,
362,1,1.108537,2.3167604496191385e-07,4.3901562281418636e-07,
363,1,0.874741,1.3524008668540925e-09,0.0,
364,1,0.859498,8.607414492882296e-09,0.0,
365,1,0.708082,3.588083642705216e-07,6.230039882769273e-07,
366,1,0.915440,6.037753553453739e-09,0.0,
367,1,0.826980,2.9462701663922333e-07,2.0647654623614288e-07,
368,1,0.738178,8.633768702914817e-08,3.264680847556393e-07,
369,1,0.928080,5.734154298852844e-10,0.0,
370,1,0.789367,8.147089070442381e-08,1.8371385344770487e-07,
371,1,0.987586,3.558700692513184e-08,4.2146848510894035e-08,
372,1,0.805339,7.076995256115262e-09,5.960464477539063e-08,
373,1,0.777608,1.7665276013164013e-06,8.192712087901784e-06,
374,1,1.037588,6.721763083269805e-07,1.52458614855158e-06,
375,1,1.021217,1.4402054275468518e-06,5.2357175960550355e-06,
376,1,0.958098,1.6733092256234258e-06,6.905140859043274e-06,
377,0,9.229482,nan,nan,ik_failed_-31
378,1,0.804199,3.0773911925757776e-06,7.787991788836098e-06,
379,0,6.981829,nan,nan,ik_failed_-31
380,1,0.960071,6.533280379474589e-07,1.2258865714790495e-06,
381,1,1.071589,2.8508088181779998e-08,3.964941112890867e-07,
382,1,0.774873,1.948425990566543e-07,5.356133209351147e-07,
383,1,0.896327,7.193996814528868e-09,0.0,
384,1,0.706420,8.836183082969203e-09,2.9802322387695312e-08,
385,1,0.873214,3.711080305833305e-08,1.1920928955078128e-07,
386,1,0.586528,2.4667339413619463e-08,2.9802322387695312e-08,
387,1,0.621066,2.67944496025306e-10,0.0,
388,1,0.606559,1.3478651856635547e-08,4.2146848510894035e-08,
389,1,0.572051,1.2632693688188353e-06,6.154161532888345e-06,
390,1,0.408485,1.4250818309088861e-06,4.6398875756984665e-06,
391,1,0.436196,2.653837869587366e-06,9.24683990811259e-06,
392,1,0.454629,9.349090302802287e-08,2.210199382035633e-07,
393,1,0.462795,1.5781505690092212e-07,8.513246093443517e-07,
394,1,0.555148,9.844912754025805e-06,9.226117460089675e-06,
395,1,0.525056,7.598959784794634e-08,0.0,
396,1,0.496431,2.0636772832260403e-11,0.0,
397,1,0.541532,1.942695719120058e-09,0.0,
398,1,0.429517,4.158393511916002e-06,4.186139058928868e-06,
399,1,0.714547,5.0725365700626174e-08,1.931411236050088e-07,
400,1,0.496135,3.951861650904854e-06,3.62634384498818e-06,
401,1,0.523210,8.78131682935325e-06,5.921819698795774e-06,
402,1,0.511511,1.9627931037761864e-08,8.429369702178807e-08,
403,1,0.479729,1.6989651734279534e-06,1.5996380925559998e-06,
404,1,0.652046,6.030940084831853e-10,0.0,
405,1,0.520839,3.185172775073676e-08,2.9802322387695312e-08,
406,1,0.588119,1.0009645689103758e-06,8.814335997962326e-06,
407,1,0.523895,2.5920731270767045e-07,2.346637211445515e-07,
408,1,0.706724,1.1694884081906121e-06,2.7823305170499674e-06,
409,1,0.509263,1.4023555334641635e-06,1.8308427993545778e-06,
410,1,0.520768,1.7368031465766882e-09,0.0,
411,1,0.461545,4.1094207946957264e-07,1.2442246523587965e-06,
412,1,0.716131,7.136209336034383e-09,0.0,
